TIPO;ID_RESP_2020;NOME;ÍNDICE DE TRANSPARÊNCIA CALCULADO;I. 1 – ADERÊNCIA À LAI;I. 2 – INSTITUCIONAL;I. 3 – AÇÕES E PROGRAMAS;I. 4 – CONVÊNIOS E TRANSFERÊNCIAS;I. 5 –RECEITAS E DESPESAS;I. 6 – LICITAÇÕES E CONTRATOS;I. 7 – DIÁRIAS E PASSAGENS;I. 8 – SERVIDORES, EMPREGADOS PÚBLICOS E AUTORIDADES;I. 9 – INFORMAÇÕES CLASSIFICADAS;I.10 – PARTICIPAÇÃO SOCIAL;I.11- INSTRUMENTOS DE GESTÃO FISCAL;I.12 – ATIVIDADES FINALÍSTICAS;II.1 – SERVIÇO DE INFORMAÇÕES AO CIDADÃO – SIC e e-SIC;III.1 – QUESTÕES ESPECÍFICAS PARA EMPRESAS ESTATAIS
Estatal;5;;0,164192019;0,444444444;0,15625;0,214285714;0;0,125;0;0;0;1;0,533333333;0;0;0,342857143;0,2
Estatal;53;;0,418634259;0,833333333;0,65625;0;0;0;0,4375;0,125;0,15;1;0,733333333;0,5;0,35;1;0,37
Estatal;56;;0,647685185;1;0,875;1;1;0;0,604166667;1;0,15;0;0,4;1;0,3;1;0,78
Estatal;Excluída;;0,233686067;0,444444444;0,75;0;0;0;0,25;0;0;0;0,533333333;0,25;0;0,691428571;0,04
Estatal;4;;0,300236993;0,777777778;0,65625;0;0;0;0,3125;0;0,5;1;0,266666667;0;0;0,731428571;0,44
Estatal;49;;0,284358466;0,333333333;0,6875;0,214285714;0;0,625;0,25;0,5;0,3;0;0,533333333;0,25;0,1;0;0,45
Estatal;36;;0,410835538;0,527777778;0,8125;0,285714286;0;0,5;0,125;0;0,1;0,571428571;0,133333333;1;0,3;1;0,605
Estatal;29;;0,209986772;0,333333333;0,125;1;0;0;0;0;0;0;0,4;0;0,9;0,228571429;0,21
Estatal;11;;0,317901235;0,638888889;0,875;0;0;0;0,125;0;0,1;1;0,733333333;0;0,05;1;0,495
Estatal;52;;0,392592593;0,166666667;1;0;0;0;0,1875;0;0,9;1;0;0,5;0,45;1;0,7
Estatal;40;;0,48667328;0,5;0,5625;0,214285714;1;0,5;0;1;0,1;0;0,533333333;0;0,2;1;0,64
Estatal;18;;0,458702601;0,777777778;0,78125;0;0,5;0;0,1875;1;0,35;1;0,533333333;0,25;0,1;0,845714286;0,53
Estatal;35;;0,163695988;0,444444444;0,78125;0;0;0,416666667;0;0;0,125;0;0,2;0;0;0,2;0,3
Estatal;Privatizada;;0,27582672;0,166666667;0,5625;0;0;0;0,25;0;0,1;0,571428571;0,8;0;0;1;0,435
Estatal;19;;0,307043651;0,5;0,5625;0,714285714;0;0;0,104166667;0;0;0;0,266666667;0,25;0,35;1;0,52
Estatal;10;;0,544675926;0,666666667;0,9375;1;1;0,291666667;0;0;0,1;0;0,466666667;0,75;0,9;0,96;0,39
Estatal;17;;0,21494709;0,5;0,875;0;0;0;0,125;0,25;0,1;0;0,633333333;0;0,2;0,314285714;0,31
Estatal;50;;0,617113095;0,75;0,84375;0,428571429;1;0,5;0,0625;0;0,9;0,571428571;1;0,5;0,55;1;0,88
Estatal;58;;0,237064594;0,722222222;0,71875;0;0;0;0;0;0,2;0;0,133333333;0,75;0;0,657142857;0,435
Estatal;55;;0,252546296;0,5;0,4375;0;0;0;0,0625;0;0;0;0,533333333;0;0,3;1;0,41
Estatal;Privatizada;;0,254398148;0,5;0,875;0;0;0,333333333;0;0;0,025;0;0;0;0;1;0,24
Estatal;6;;0,547205688;0,5;0,84375;0,714285714;1;0,166666667;0;0;0,25;1;0,533333333;1;0,7;1;0,3
Estatal;7;;0,338712522;0,777777778;0,75;0,5;0;0;0;0;0,1;0,571428571;0,133333333;1;0;1;0,36
Estatal;25;;0,534182099;0,777777778;1;1;1;0,5;0,208333333;0;0,225;1;0,733333333;0,5;0,9;0,2;0,465
Estatal;41;;0,494091711;0,555555556;0,875;0,285714286;0;0;0,291666667;0;0,85;0,571428571;0,733333333;0,75;0,7;1;0,395
Estatal;22;;0,348611111;0,583333333;0,875;0;0;0;0,354166667;0;0,05;0;0,533333333;1;0;1;0,37
Estatal;63;;0,166661155;0,722222222;0,78125;0;0;0;0,0625;0;0;0,428571429;0;0;0;0,462857143;0,35
Estatal;Privatizada;;0,384799383;0,472222222;0,9375;0,5;0,5;0;0,166666667;0;0,25;0;0,533333333;0;0,35;1;0,385
Estatal;26;;0,453913139;0,805555556;0,8125;0,285714286;1;0;0,208333333;0;0,2;0;0,8;0;0,5;1;0,62
Estatal;23;;0,230654762;0,5;0,9375;0,214285714;0;0;0;0;0;0;0;0;0;1;0,18
Estatal;39;;0,499118166;0,722222222;1;0,428571429;0;0,666666667;0,25;0;0,1;1;0,8;0;0,7;1;0,88
Estatal;24;;0,341997354;1;0,875;0;0,5;0,083333333;0;0;0,2;0,571428571;0,2;0,75;0;0,731428571;0,2
Estatal;43;;0,469984568;0,888888889;0,9375;0;1;0,916666667;0;0;0;0;0,8;0;0;1;0,45
Estatal;32;;0,541358025;0,611111111;1;0;1;0,166666667;0,145833333;1;0;1;0,733333333;0,5;0,25;0,96;0,47
Estatal;48;;0,372343474;0,694444444;0,6875;0;1;0,416666667;0,125;0;0,2;0;0,533333333;0;0,05;0,731428571;0,46
Estatal;Privatizada;;0,290509259;0,666666667;0,6875;0;0;0;0;0;0,05;1;0,8;0;0;1;0,22
Estatal;46;;0,437180335;0,722222222;0,6875;0,214285714;0;0;0,520833333;0;0,35;1;1;0,5;0,5;0,771428571;0,435
Estatal;Privatizada;;0,338888889;0,5;0,875;0;0;0;0,0625;0;0,2;0;1;0,5;0,2;1;0,485
Estatal;15;;0,501333774;0,638888889;0,9375;0,214285714;1;0,375;0,375;0;0,2;0;0,533333333;1;0;0,96;0,675
Estatal;Privatizada;;0,22853836;0,5;0,4375;0,214285714;0;0;0;0;0;0;0,733333333;0;0,2;0,771428571;0,34
Estatal;Privatizada;;0,349421296;0,25;0,78125;0;0;0;0,3125;0;0,1;0;0,733333333;0,5;0,5;1;0,415
Estatal;30;;0,223809524;0,333333333;0,75;0;0;0;0,125;0;0;0;0,266666667;0,5;0;0,771428571;0,58
Estatal;Incorporada;;0,279993386;0,25;0,5625;0,285714286;0;0;0,0625;0;0,1;1;0,666666667;0;0;1;0,32
Estatal;37;;0,537323633;0,694444444;0,625;0,785714286;0;0,583333333;0,541666667;0;0,1;1;0,666666667;0,75;0,5;1;0,655
Estatal;44;;0,405588624;0,5;1;0,571428571;0;0;0,0625;0;0,825;0;0,666666667;1;0;0,88;0,66
Estatal;21;;0,240046296;0,416666667;0,3125;0;0,5;0;0;0;0,05;0;0,266666667;0;0;1;0,585
Estatal;16;;0,37191358;0,277777778;1;0,5;0;0,166666667;0,083333333;0;0,1;1;0,266666667;1;0;1;0,58
Estatal;33;;0,425925926;0,833333333;1;0;0;0,583333333;0;0;0,2;1;0,866666667;0,5;0;1;0,53
